Case Number,Context,Award Summary,Year,Nature of the Award,Seat (Town),Source,ID Number,Themes Link,Jurisdictions Link,Court Decisions Link,Arbitral Institution Link,CoLD ID,Arbitral Provisions
9875,"In 1983, Claimant, a French company, was given an exclusive licence to manufacture, sell and distribute Respondent's products in Europe. A similar agreement was made at the same time between Respondent and an American firm (X) for the North American market. Respondent retained exclusive distribution in Asia for itself and gave Claimant and Respondent non-exclusive rights for other countries. The licence agreement between Claimant and Respondent provided for an exception to exclusivity in order to allow the products bought by Original Equipment Manufacturers in the territory of one exclusive licensee to be distributed in another licensee's exclusive territory. In 1996, Respondent entered into a new agreement with X and submitted a new draft contract to Claimant, which was never executed. Claimant contended that the new contract between Respondent and X infringed its exclusivity in Europe, as Europe had been omitted in a clause defining limitations upon the extent of X's distribution. ","The arbitral tribunal decided that lex mercatoria should be applied to the merits of the case, noting that the Unidroit Principles were a reflection of the rules of law and usages of international trade. In its final majority award, the tribunal referred to the rules of interpretation contained in article 4 of the Unidroit Principles and the practice of good faith and fair dealing expressed in article 1.7.",2001,"Partial,Final","Brussels, Belgium",ICC International Court of Arbitration Bulletin Vol. 12 No. 2; 95; 2001; Partial and Final Awards in Case 9875 (Extracts),14,1,1,0,1,AA-14,0
15972,[Choice of law] [Public policy],"In view of the foregoing, the Arbitral Tribunal concludes that the merits of the case shall be exclusively decided in accordance with the law chosen by the parties, i.e. Swiss substantive law with the exception of the CISG. In addition, the Arbitral Tribunal shall ""take account of the provisions of the contract and the relevant trade usages"" (see Art. 17(2) ICC Rules7). ",2011,Final,"Geneva, Switzerland",ICC Dispute Resolution Bulletin 2016 No. 1; 92; 2016; Final Award in Case 15972 (Extract),13,1,1,0,1,AA-13,0
11864,The dispute arose out of a contract for distribution by a Belgian company (respondent) in Benelux countries of products produced by a Dutch company (claimant).,"The Sole Arbitrator finds, however, that in the circumstances here those factors are outweighed by the more substantial connections of the contractual relationship to Belgium.
",2008,Interim,"Brussels, Belgium",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 119; 2008; Interim Award in Case 11864 (Extract),15,1,1,0,1,AA-15,0
17146,,"The arbitral tribunal found that the existence, validity and scope of an arbitration agreement has to be examined by reference to transnational rules and trade usages. The arbitral tribunal further noted that these rules are the same as those commonly adopted for the interpretation of contracts in national laws.",2013,,"Paris, France","P. Taivalkoski in ""Perspectives in Practice of the UNIDROIT Principles 2016"", IBA Publication 2019, p. 211-212",16,1,1,0,1,AA-16,0
18/2007,"Claimant, a Russian company, entered into a contract with Respondent, a Moldavian company, for the supply of natural gas (“the Contract”). According to the Contract the gas was to be delivered in part to the Respondent itself and in part to a third party (“the Recipient”). Although the Recipient was formally not a party to the Contract, the Contract provided that the Recipient should pay for the gas directly to Claimant. Nevertheless, when the Recipient failed to pay the price for the gas received, Claimant requested payment of the price not from the Recipient but from Respondent. When Respondent refused to pay on behalf of the Recipient, Claimant filed a claim against Respondent before the International Court of Arbitration of the Chamber of Industry and Commerce of the Russian Federation.","According to the Arbitral Tribunal Claimant in both respects failed to act in accordance with one of the basic principles of international trade, i.e. the principle of good faith as laid down in general terms in Article 1.7 of the UNIDROIT Principles and Articles 7 and 8 of the CISG and which, according to Article 5.1.2 of the UNIDROIT Principles, is an implied obligation which as stated in Comments 1 to 3 to Article 1.7 of the UNIDROIT Principles the parties have to observe throughout the life of the contract.
",2008,,"Moscow, Russia",Date: 08-02-2008; Country: Arbitral award; Number: 18/2007; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,17,1,1,0,1,AA-17,0
12111,"In 2001, a Romanian company (Claimant) contracted to sell paper to a UK company (Respondent).","The Sole Arbitrator considers that the terms ""international law"" used by the parties refer to lex mercatoria and general principles of law applicable to international contractual obligations such as the ones arising out of the Contract. Such general principles are reflected in the UNIDROIT Principles of International Commercial Contracts which will be applied for the determination of the parties' respective claims in this arbitration.",2003,Partial,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 21 No. 1; 78; 2010; Partial Award in Case 12111 (Extract),18,1,1,0,1,AA-18,0
NA,"A United States company and a government agency of a Middle Eastern country entered into a contract which contained a provision according to which any disputes which might arise would be settled on the basis of “Anglo-Saxon principles of law"".
","In the absence of any further specification as to what exactly this formula might mean, the Arbitral Tribunal chose to refer expressly to the UNIDROIT Principles, and in particular to the rules on interpretation contained therein",1995,,"London, United Kingdom",Date: 00-00-1995; Country: Arbitral award; Number: -; Court: London Court of Arbitration,19,1,1,0,1,AA-19,0
16751,"In this arbitration the Claimant contends that as a result of various breaches of an agreement for the management of [a] Hotel in … Nigeria committed by the Respondent, the Claimant was entitled to terminate the Management Agreement and is entitled now to recover various sums which had accrued due to it, as well as compensation for loss of the profits which it would have earned if the agreement had continued. The Respondent denies liability to the Claimant, and further contends that this arbitral tribunal has no jurisdiction. Without prejudice to that denial of jurisdiction, the Respondent counterclaims damages for losses which it says that it has suffered as a result of breaches of the Management Agreement by the Claimant.
","Accordingly, applying English law, which is the relevant applicable law, we hold that the arbitration clause is valid and enforceable.",2016,Final,"London, United Kingdom",ICC Dispute Resolution Bulletin 2016 No. 2; 65; 2016; Final Award in Case 16751,20,1,1,0,1,AA-20,0
13012,A contract between a French company and a U.S. company was silent as to the applicable law.,"In conclusion the Arbitral eventually decided “(…) that the material law applicable to the case shall be the general principles of law resulting from the UNIDROIT Principles (2004 edition) and from the aforesaid fundamental rules of the lex mercatoria, as well as from the commercial usages prevailing in the sector of activities to which the parties’ agreement relates.",2004,,"Paris, France",Date: 00-00-2004; Country: Arbitral award; Number: 13012; Court: ICC International Court of Arbitration 13012,24,1,1,0,1,AA-24,0
11754,"The Claimant is a government company incorporated in India. The Respondent is a private limited company incorporated in Singapore. The dispute concerns a Purchase Order, which includes a Guarantee Clause.  The Claimant alleged that there were certain discrepancies and 25 of the [products] were defective and failed prematurely.","The Arbitrator is of the opinion that the dispute under the Contract in this case has the closest connection with India. Therefore the law of India should be the applicable substantive law.
",2003,Interim,"Bangkok, Thailand",Special Supplement 2010: Decisions on ICC Arbitration Procedure: A Selection of Procedural Orders issued by Arbitral Tribunals acting under the ICC Rules of Arbitration (2003-2004); 2010; Interim Order of 14 February 2003 in ICC Case 11754 (Extract),21,1,1,0,1,AA-21,0
20731,"Seller, an Indian company, entered into a contract with Buyer, a Romanian company, for the sale of stainless steel tubes, which were intended to be incorporated into heat exchangers manufactured by the Buyer and supplied to a third party. The confirmation of the order which Buyer sent to Seller by e-mail included the following clause: “Arbitration: Court of Arbitration of Paris”. Therefore, when a dispute arose between the parties regarding a series of defects detected in the goods, the Buyer commenced arbitration proceedings before the ICC International Court of Arbitration.
",The Arbitral Tribunal decided to apply the UNIDROIT Principles.,2017,,"Paris, France",Date: 13-06-2017; Country: Arbitral award; Number: 20731; Court: ICC International Court of Arbitration 20731,22,1,1,0,1,AA-22,0
11761,"[Respondent] does not deny that it was a party to the SR [Sales Representative] Agreement and the CSW [Consigned Stock and Warehousing] Agreement or that the Agreements contained the arbitration provisions quoted [earlier]. On the contrary, [Respondent] said in its pleas as to the non-existence of agreement to arbitrate ... that it was one party to the Agreements and that [X] was the other party. What [Respondent] denies is that the Claimant was a party to either of the Agreements or that the Claimant succeeded to [X]'s interest in the Agreements so as to claim the benefit of the arbitration provisions.","Thus, apart from our interpretation of the Agreements themselves and the circumstances in which they were made, the Tribunal determined that the laws of Texas were the appropriate, applicable laws.",2003,Final,"Paris, France",ICC Dispute Resolution Bulletin 2016 No. 1; 71; 2016; Final Award in Case 11761 (Extract),23,1,1,0,1,AA-23,0
13641,,"Given that the relevant events took place in Germany, and that the fiduciary duties at issue here involve the duties of shareholders in a German corporation, the Tribunal finds that German law has the ""greater interest"" in being applied here. Accordingly, the Tribunal holds that the substantive law applicable to [Claimant]'s main claims, and thus to the issue of the timeliness of those claims, is German law. ",2014,Interim,"Montreal, Canada",ICC International Court of Arbitration Bulletin Vol. 25 No. 1; 56; 2014; Interim Award in Case 13641,25,1,1,0,1,AA-25,0
10988,This case concerns a dispute arising out of a licence agreement between a French company (claimant) and an Italian company (respondent).,"The Arbitral Tribunal, in accordance with the teachings of Ulmer, will apply Italian law, having regard to the exclusive nature of the licence granted.",2008,Partial,"Geneva, Switzerland",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 115; 2008; Partial Award in Case 10988 (Extract),26,1,1,0,1,AA-26,0
7319,"The parties entered into a distribution agreement by which Defendant (a distributor from Ireland) was given an exclusive right to sell Claimant's (French supplier) products in the Republic of Eire and a non-exclusive right to sell in North Ireland. At a very early stage in the commercial relationship, Defendant contested the quality of the products and refused to pay the amounts due to Claimant under the contract alleging a right of set off against damages suffered.","In the present case, the sole arbitrator has decided to apply both the Irish and the French rules of conflict, given that these are the only ones having a direct connection with the parties and the dispute. The Sole Arbitrator considers that the country with which the 1989 Distribution Agreement has the closest connection is Ireland, rather than France. As applied to the present case, the Rome Convention would therefore designate Irish law as the proper law, since the characteristic performance of the present Agreement is the distribution of the bicycles in Ireland, where Defendant as distributor has its offices.",1994,Partial,"Paris, France
","ICC International Court of Arbitration Bulletin, Vol. 5, No. 2, 56,  1994",1,1,2,0,1,AA-1,0
10137,The case concerns a dispute between a Dutch company (claimant) and a French company (respondent).,"In this case, the arbitrator considers that the appropriate legal rules applicable to the substance of the dispute are those resulting from the application of Belgian private international law.",2008,Interim,"Brussels, Belgium",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 113; 2008; Interim Award in Case 10137 (Extract),28,1,1,0,1,AA-28,0
9651,"Claimant, a German company, entered into an agreement with Defendant, an Indian company, to supply the latter with industrial equipment. The parties subsequently signed a further contract for a related automation system. 15% of the price of this contract was to be paid immediately and the balance in successive instalments by way of promissory notes. Disputes arose between the parties following the loss of the promissory notes, delayed delivery of the equipment and malfunctions. Defendant stated its wish to return the automation system, upon which Claimant filed its Request for Arbitration","Swiss law is applicable in the case to the interpretation of section S of the Contract, since Parties opted for the Swiss law to govern their Contract and the lex fori is that of Switzerland as seat of the arbitral tribunal under a clause on the resolution of disputes that is not the object of any controversy between the Parties, save for the present question of the applicable law.
",2001,Final,"Zurich, Switzerland",ICC International Court of Arbitration Bulletin Vol. 12 No. 2; 76; 2001; Final Award in Case 9651 (Extract),27,1,1,0,1,AA-27,0
8908,"The dispute concerns the commercial relationship between two companies - a manufacturer and a distributor of pipes. Claimant is described as both an agent and a distributor. A considerable number of contractual ties were formed between the parties. Although formally and legally distinct, they are considered as constituting a single commercial relationship. A deterioration occurred in the relationship, with Respondent complaining that Claimant's debt was much higher than the line of credit granted, and Claimant criticizing Respondent for problems of quality and delays in delivery. The parties entered into a settlement agreement which laid down a schedule for Claimant to pay its debt, in return for which Respondent would carry out certain deliveries. However, there was no improvement in the situation and arbitration proceedings were instituted, with each party requesting that the contractual relations between them be considered terminated due to the other's default.","Since the inter partes contracts subject to arbitration are covered by Italian law through an explicit clause or on the basis of the rule of conflict deemed to be most appropriate, Italian law shall be extended to the settlement too.",1999,Final,"Milan, Italy","ICC International Court of Arbitration Bulletin, Vol. 10, No. 2,  83, 1999",29,1,1,0,1,AA-29,0
100,"Claimant, a Russian company, entered into an agreement with Defendant, a Hungarian company, for the lease of commercial premises.","In deciding a dispute arisen between the parties following Claimant's request to vacate the premises, the Arbitral Tribunal applied the UNIDROIT Principles. ",2009,,"Moscow, Russia",Date: 30-10-2009; Country: Arbitral award; Number: 100; Court: International Arbitration Court of the Chamber of Commerce and Industry of the Russian Federation,30,1,1,0,1,AA-30,0
12701,"In a dispute arising from a Memorandum of Understanding (MOU), which was silent as to the applicable law.","The Arbitral Tribunal pointed out that in the context of an international arbitration there is no fundamental obstacle, as a matter of principle, to the application of general principles of law and in particular of the UNIDROIT Principles; however in the case at hand such an approach would not seem to be appropriate, first because the mere silence of the parties as to the applicable law was not sufficient evidence for their intention to exclude the application of any domestic law, and second because both there was a substantive connection between France and the purpose and implementation of the MOU under consideration so as to perfectly justify the application of French law.",2004,,"Paris, France",Date: 00-00-2004; Country: Arbitral award; Number: 12701; Court: ICC International Court of Arbitration 12701,32,1,1,0,1,AA-32,0
8261,"An Italian company and a government agency of a Middle Eastern country entered into a contract. The contract did not contain any choice of law clause, because both parties had insisted on the application of their own national law.","In a previous partial award on the question of the applicable law, the Arbitral Tribunal had declared that it would base its decision on the terms of the contract, supplemented by general principles of trade as embodied in the lex mercatoria.",1996,Partial,"Paris, France","Date: 27-09-1996; Country: Arbitral award; Number: 8261; Court: ICC International Court of Arbitration, Paris 8261",31,1,1,0,1,AA-31,0
9117,"The parties entered into contracts for sale of goods by Claimant to Respondent. As the US import licences held for the goods were due to expire, Respondent urged for rapid shipment. Some of the goods were delivered prior to expiry of the licences and some afterwards. Respondent paid the full price of goods delivered prior to expiry of the licences and approximately one third of the price of the goods shipped thereafter. Respondent refused to make any further payments, claiming the sums withheld would be set off against damages allegedly due to it. Respondent alleges it had an exclusive right to import the goods, which Claimant had violated, and that Claimant had also defaulted on timely shipment.","The Tribunal shall apply the law (or rules of law) designated as the proper law by the rule of conflict deemed ""appropriate"". A tribunal should, accordingly, no longer be expected to apply a conflict of law system (in its entirety, such as the one prevailing at the forum), but should be free to only determine the appropriate conflict rule (which is a notion significantly different from a ""system""), and such rule can form part of any national or a national rules of private international law. The most appropriate conflict rule, in the instant case, is to determine the preponderant connecting factor(s) to one or another legal system.",1999,Final,"Zurich, Switzerland","ICC International Court of Arbitration Bulletin, Vol. 10, No. 2, 96, 1999",33,1,1,0,1,AA-33,0
7250,"Exclusive distributorship agreement between a Dutch producer (Defendant) and an American distributor (Claimant). ","Arbitral tribunal decided to apply the laws of the State of New Jersey / In absence of specific contractual stipulation, potential applicability in international contracts, of the law of the corporate seat of the party whose performance characterizes the contract, as in Art. 4(2) of the Rome Convention of June 1980.
",1996,Partial,"Paris, France","ICC International Court of Arbitration Bulletin, Vol. 7, No. 1,  92, 1996",2,1,1,0,1,AA-2,0
9419,A Swiss management company (Claimant) and a Liechtenstein importer (Respondent) entered into an agreement for the exportation of goods. Claimant complained that no payment had been made by Respondent.,"French law (stated in the contract) and CISG (accession to the CISG by the two countries (Switzerland and Liechtenstein) where the parties are based; and (should it be necessary) France's accession to the CISG, given that French law is considered applicable).",1998,Final,"Lugano, Switzerland ","ICC International Court of Arbitration Bulletin, Vol. 10 No. 2",34,1,1,0,1,AA-34,0
7110,"The parties entered into a number of contracts covering the sale, supply, modification, maintenance and operation of equipment, and support services relating thereto. The contracts were terminated following events in State X and disputes arose in connection with the amounts claimed by the parties from each other.","The Contracts shall be governed by, and interpreted according to, the general legal rules and principles regarding international contractual obligations enjoying a wide international consensus, including the Unidroit Principles, with respect to all such matters falling under the scope of such principles.'
",1999,Partial,"The Hague, Netherlands","ICC International Court of Arbitration Bulletin, Vol. 10 No. 2",36,1,1,0,1,AA-36,0
13009,"A Liechtenstein Seller and a Spanish Buyer entered into a contract for the sale of certain goods to be delivered CFR at a Spanish port. Buyer sold the goods, while in transit, to another Spanish company (""End Buyer""). A dispute arose between the parties concerning two conflicting bills of lading for the same shipment (a clean bill and a bill mentioning defects as per an independent surveyor’s report).","In a preliminary award the Arbitral Tribunal held that it had jurisdiction over the case and that it would apply the UNIDROIT Principles to determine whether the settlement agreement had been concluded by Seller under economic duress.
",2006,,"Paris, France",Date: 00-00-2006; Country: Arbitral award; Number: 13009; Court: ICC International Court of Arbitration 13009,35,1,1,0,1,AA-35,0
117/1999,Two Chinese companies and a European company entered into an agreement (hereinafter „the Agreement“) on technology exchange and technical co-operation. The Agreement imposed upon the parties a duty of strict confidentiality concerning the information exchanged and a duty of non-competition. The dispute arose when the European company accused one of the Chinese companies of having violated such commitments.,"The Tribunal therefore concluded that in deciding the dispute at hand it would base itself primarily on the UNIDROIT Principles, and only where the UNIDROIT Principles do not provide an answer to any question of substantive nature raised in the arbitration, it would resort to domestic law, i.e. the law of Sweden as a neutral law.
",2001,,"Stockholm, Sweden",Date: 00-00-2001; Country: Arbitral award; Number: 117/1999; Court: Arbitration Institute of the Stockholm Chamber of Commerce,37,1,1,0,1,AA-37,0
"Ad-hoc Arbitration Court, 1 June 2003",Non-State Law (Rules of law),,2003,,,NA,68,0,1,0,1,AA-68,0
"Ad-hoc Arbitration Court, 30 April 2001",Non-State Law (Rules of law),,2001,,,NA,69,0,1,0,1,AA-69,0
"Steel wire case, CLOUT No 727","Absence of choice; Determination of applicable law: Vienna Convention; for matters not covered by the Convention, the substantive law of the Russian Federation (closest connection). ","In 1999 a seller – a Cyprus company having its principal place of business in Russia – and a buyer, an Italian company, entered into an agreement concerning steel goods. The parties agreed on many specifications of the contract – in order to detail sorts of production, prices, delivery and payments – but when they begun performance, a dispute arose on the quality standards of some delivered goods. Once settled the matter, with a reduction of the price of the goods already delivered, the parties decided to go on with further deliveries. Nonetheless, divergences arose between them on alleged misconduct in the performance of their mutual obligations, mostly regarding the payment of the reduced price and the further deliveries of goods at the terms and conditions agreed upon. The contract contained an arbitration clause referring to the Rules of the Chamber of National and International Arbitration of Milan. Thus, the seller initiated an arbitration proceedings. The contract was silent on the rules applicable to the merits of the case. The seller identified it with Russian law whereas, according to the buyer, the Italian law should apply. The Arbitral Tribunal, going beyond parties’ assumptions on the point, concludes that the CISG is the body of law applicable to the arbitration, under the following reasoning. The CISG is the special regulation for international sales of the national legal system of the two States more directly involved in the case (both of which have ratified the CISG). The Arbitral Tribunal upheld the seller’s position considering Russian law as the national law applicable – Russia indeed had a closer connection with the contract as the goods were to be produced in Russia, according to Russian standards and delivered on Russian ships, being all these circumstances perfectly known by the parties – whereas the CISG applied to the dispute as lex specialis within the domestic general law of sales. Moreover, in the Arbitral Tribunal’s opinion, CISG must automatically apply also by virtue of articles 1(a) and 10(a), as the law applicable to a sale contract between parties belonging to different contracting states. The Arbitral Tribunal considered the framework contract plus various specifications as a contract for delivery of goods by instalments, pursuant to article 73 CISG. The Arbitral Tribunal found that the buyer’s failure to complete payment of the goods already delivered was without well founded reasons, consequently the seller was entitled to recover the corresponding amount. The fact that the seller made its agreement to further deliveries subject to cooperation of the buyer on some requests did not constitute either a violation of the duty of good faith or a fundamental breach of the contract. Thus, the buyer could not refuse to make the payment assuming a fundamental breach on the seller’s side. In the Arbitral Tribunal’s opinion the principle inadimplenti non est adimplendum did not apply to the case at hand. First, CISG does not include that exception among the remedies to be used. Secondly, the buyer did not validly terminate the contract (article 73 CISG) in its entirety or with respect to the third shipment. Besides, wherever permitted, the exception could be used to withhold the performance until the other party has performed its obligation in respect of the same instalment. The Arbitral Tribunal ruled that the seller was entitled also to interest on the payment pursuant to article 78 CISG. The interest rate was to be calculated in conformity with Russian law. As for the incomplete shipment of goods complained by the buyer, the seller’s refusal was groundless and the buyer was so entitled to compensation of damages for delayed performance (articles 45.2 and 47.2 CISG) as it bought other goods in replacement (paying a different price). [Abstract prepared by Maria Chiara Malaguti, National Correspondent, and Valentina Renna.]",2001,Final,Milan,"CLOUT No 727, available at: https://cisg-online.org/search-for-cases?caseId=7501",71,2,1,0,1,AA-71,0
Ethiopian Petroleum Enterprise v Ethiopian Shipping Lines Corporation [2012] 4 EACC Report of arbitral Awards 189,"""In Ethiopian Petroleum Enterprise v. Ethiopian Shipping Lines Corporation, the arbitral tribunal requested to apply the Hague Rules, which was the agreed law, together with the Ethiopian Maritim Code. In this case, however, the arbitral tribunal declined the request to refer to the Hague Rules, stressing that the provisions of the Ethiopian Maritime Code are identical with the principles embodied in the Hague Rules. In a certain sense, the tribunal did recognize the choice of the parties, but concluded that the choice was superfluous."" (OUP Book [14.24])","""In Ethiopian Petroleum Enterprise v. Ethiopian Shipping Lines Corporation, the arbitral tribunal requested to apply the Hague Rules, which was the agreed law, together with the Ethiopian Maritim Code. In this case, however, the arbitral tribunal declined the request to refer to the Hague Rules, stressing that the provisions of the Ethiopian Maritime Code are identical with the principles embodied in the Hague Rules. In a certain sense, the tribunal did recognize the choice of the parties, but concluded that the choice was superfluous.\"" ( OUP Book [14.24])""",2012,,,NA,72,3,1,0,1,AA-72,0
Ethiopian Shipping Lines Corporation v Coffee Marketing Corporation [2012] 4 EACC Report of Arbitral Awards 152,"""The Hague Rules were applied by an arbitral tribunal in Ethiopian Shipping Lines Corporation v Coffee Marketing Corporation (where Maritime and Transit Corporation was a party on the basis of third party joinder). The case concerned a contract of carriage by sea; a number of bags of coffee exported by the plaintiff was rejected by the foreign buyer, thereby causing damage to the plaintiff (the carrier), who was eventually forced to preserve the commodity and incur substantial costs in the process of selling the commodity. The arbitration tribunal to which the matter was presented utilised the Hague Rules to resolve the dispute. The rules were chosen by the parties and submitted to the Tribunal appended to the plaintiff’s written pleading despite the fact that Ethiopia is not a party to the Convention containing the Hague Rules"" (OUP Book [14.23])","""The Hague Rules were applied by an arbitral tribunal in Ethiopian Shipping Lines Corporation v Coffee Marketing Corporation (where Maritime and Transit Corporation was a party on the basis of third party joinder). The case concerned a contract of carriage by sea; a number of bags of coffee exported by the plaintiff was rejected by the foreign buyer, thereby causing damage to the plaintiff (the carrier), who was eventually forced to preserve the commodity and incur substantial costs in the process of selling the commodity. The arbitration tribunal to which the matter was presented utilised the Hague Rules to resolve the dispute. The rules were chosen by the parties and submitted to the Tribunal appended to the plaintiff’s written pleading despite the fact that Ethiopia is not a party to the Convention containing the Hague Rules"" (OUP Book [14.23])",2012,,,NA,73,3,1,0,1,AA-73,0
Baruch Foster Corporation v Imperial Ethiopian Government [2008] 1 EACC Report of Arbitral Awards 2,,,2008,,Addis Ababa [?],NA,74,3,1,0,1,AA-74,0
Ethiopian Food Corporation v Commercial Bank of Ethiopia [2012] 4 EACC Report of Arbitral Awards 72,"""In Ethiopian Food Corporation v. Commercial Bank of Ethiopia, where the dispute related to the obligations of the bank in respect of a letter of credit it authorized for payment to a foreign seller, the court was called on to apply the ICC's Uniform Customs and Practice for Documentary Credits. The courts refused to apply the rules: the applicant's reliance on them was erroneous as the applicant originally invoked the same provisions to establish jurisdiction. For the purposes of liability, the Tribunal held that the Ethiopian Commercial Code is sufficient. The Tribunal emphasized that the applicant invoked the ICC Rules in its written submission for the purposes of proving/establishing local jurisdiction, not in relation to establishing liability. Hence, it could not also rely on these rules for establishing liability."" (OUP Book [14.22])","""In Ethiopian Food Corporation v. Commercial Bank of Ethiopia, where the dispute related to the obligations of the bank in respect of a letter of credit it authorized for payment to a foreign seller, the court was called on to apply the ICC's Uniform Customs and Practice for Documentary Credits. The courts refused to apply the rules: the applicant's reliance on them was erroneous as the applicant originally invoked the same provisions to establish jurisdiction. For the purposes of liability, the Tribunal held that the Ethiopian Commercial Code is sufficient. The Tribunal emphasized that the applicant invoked the ICC Rules in its written submission for the purposes of proving/establishing local jurisdiction, not in relation to establishing liability. Hence, it could not also rely on these rules for establishing liability."" (OUP Book [14.22])",2012,,,NA,75,3,1,0,1,AA-75,0