Set of Rules,In Force From,Official Source (URL),Arbitral Institutions Link,Arbitral Provisions,CoLD ID,ID Number
"Rules of Arbitration of the Arbitration Center of Mexico ",2009-07-01,https://camex.com.mx/wp/wp-content/uploads/2017/11/cam-rules-of-arbitration-adopted-by-arias-mexico.pdf,1,0,AR-1,1
Rules of the Arbitration Court (Czech Rules),2023-01-01,https://en.soud.cz/downloads/rules-consolidated-text-1st-january-2023.pdf,1,1,AR-2,2
Arbitration Rules of the Singapore International Arbitration Centre SIAC,2016-08-01,https://siac.org.sg/siac-rules-2016,1,1,AR-3,3
VanIAC International Commercial Arbitration Rules of Procedure,2022-07-01,https://vaniac.org/arbitration/rules-of-procedure/international-commercial-arbitration-rules-of-procedure-july12022/,1,1,AR-4,4
UNCITRAL Arbitration Rules,2021-12-09,https://uncitral.un.org/en/texts/arbitration/contractualtexts/arbitration,1,1,AR-5,5
"CMA-CCFA Arbitration Rules ",2010-01-01,https://ccfranco-arabe.fr/wp-content/uploads/2019/12/LE-R%C3%88GLEMENT.pdf,1,1,AR-6,6
CAM Arbitration Rules,2023-03-01,https://www.camera-arbitrale.it/upload/documenti/arbitrato/CAM%20arb%20rules%202023.pdf,1,1,AR-7,7
DIS Arbitration Rules,2018-03-01,https://www.disarb.org/en/tools-for-dis-proceedings/dis-rules,1,1,AR-8,8
Zhuhai Court of International Arbitration Arbitration Rules,2023-03-01,https://zcia.pro/info/695.html,1,1,AR-9,9
"HKIAC Administered Arbitration Rules ",2024-06-01,https://www.hkiac.org/arbitration/rules-practice-notes/hkiac-administered-2024,1,1,AR-10,10
AIAC Arbitration Rules,2023-08-24,https://admin.aiac.world/uploads/ckupload/ckupload_20231029100344_34.pdf,1,0,AR-11,11
Chinese Arbitration Rules on International Economic and Trade Arbitration Commission,2024-01-01,https://www.cietac.org/en/articles/32216,1,1,AR-12,12
CIArb Arbitration Rules,2015-12-01,https://jusmundi.com/en/document/rule/en-ciarb-chartered-institute-of-arbitrators-arbitration-rules-2015-ciarb-arbitration-rules-2015-tuesday-1st-december-2015,1,1,AR-13,13
VIAC Rules of Arbitration and Mediation 2021,2021-07-01,https://www.viac.eu/en/arbitration/content/vienna-rules-2021-online,1,1,AR-14,14
ACICA Arbitration Rules,2021-04-01,https://acica.org.au/acica-rules-2021/,1,1,AR-15,15
NAI Arbitration Rules,2024-03-01,https://nai.nl/2024-nai-arbitration-rules/,1,1,AR-16,16
Liechtenstein Rules of Arbitration,,https://assets.ctfassets.net/7t5231eakbm6/72wYKshuP9JX3YLn6FNDGp/e720922d674684a3dc2c4b725de8c9fd/Liechtensteinische-Schiedsordnung.pdf,1,0,AR-17,17
SCC Arbitration Rules,2023-01-01,https://sccarbitrationinstitute.se/sites/default/files/2023-12/scc_arbitration_rules_english_2023.pdf,1,1,AR-18,18
CPR Rules for Administered Arbitration of International Disputes,2019-03-01,https://drs.cpradr.org/rules/international/arbitration/2019-international-administered-arbitration-rules,1,1,AR-19,19
ICC Arbitration Rules,2021-01-01,https://iccwbo.org/dispute-resolution/dispute-resolution-services/arbitration/rules-procedure/2021-arbitration-rules/,1,1,AR-20,20
"Arbitration Rules of the Asian European Arbitration Centre (ASEAC)
",2023-07-01,https://www.aseac-arbitration.com/fileadmin/documents/rules/aseac-rules-2023-en.pdf,1,0,AR-21,21
LCIA Arbitration Rule,2020-10-01,https://www.lcia.org/Dispute_Resolution_Services/lcia-arbitration-rules-2020.aspx,1,1,AR-22,22
ECCSA Arbitration Rules,2008-11-25,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://addischamber.com/wp-content/uploads/2024/01/Arbitration-Rules-English.pdf,1,1,AR-23,23
AAA International Arbitration rules,2021-03-01,https://www.adr.org/sites/default/files/ICDR_Rules_1.pdf,1,1,AR-24,24
DIA Arbitration Rules,2021-04-13,https://voldgiftsinstituttet.dk/wp-content/uploads/2021/06/4304611-regler-for-voldgift_04-2021_uk_web.pdf,1,1,AR-25,25
JAMS Comprehensive Arbitration Rules & Procedures,2021-06-01,https://www.jamsadr.com/rules-comprehensive-arbitration/,1,1,AR-26,26
DIAC Arbitration Rules,2022-03-21,https://www.diac.com/en/adr-services/arbitration/rules/diac-arbitration-rules-2022/,1,1,AR-27,27
CAM-CCBC Arbitration Rules,2022-11-01,https://ccbc.org.br/cam-ccbc-centro-arbitragem-mediacao/en/arbitration/arbitration-rules-2022/,1,1,AR-28,28
2011 CRCICA Arbitration Rules,,https://crcica.org/rules/arbitration/2011/cr_arb_rules_en.pdf,1,1,AR-29,29
2021 JCAA Commercial Arbitration Rules,,https://www.jcaa.or.jp/en/common/pdf/arbitration/Commercial_Arbitration_Rules2021_en.pdf; https://www.jcaa.or.jp/en/common/pdf/arbitration/Interactive_Arbitration_Rules2021_en.pdf,1,1,AR-30,30
2021 Swiss Rules,,https://www.swissarbitration.org/wp-content/uploads/2021/06/Swiss-Rules-2021-EN.pdf,1,1,AR-31,31
2000 HCC Rules,,https://www.jus.uio.no/lm/en/html/hungary.arbitration.proceedings.rules.2000/c14.html,1,1,AR-32,32
2020 Resolution Institute Arbitration Rules,,https://www.resolution.institute/documents/item/1844,1,1,AR-33,33
2005 CIDRA Arbitration Rules,," http://www.cidra.org/arbitration-rules.htm#32",1,1,AR-34,34
2020 Rules of the ICAC,,https://icac.org.ua/wp-content/uploads/Reglament_ENG_2020_print_1624347875.pdf,1,1,AR-35,35
2017 KLRCA Arbitration Rules,,https://www.aiac.world/wp-content/arbitration/Arbitration-Rules-2017.pdf,1,1,AR-36,36
2012 CEAC Hamburg Arbitration Rules,,https://www.ceac-arbitration.com/fileadmin/documents/rules/ceac-rules-2012-en.pdf,1,1,AR-37,37